tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
22051020700,"Kenner, LA",27567,0.0599,,22616,0.189,39820,0.77,,,,,0.08,,0.0885,,0.6951,0.2606,25693,22301,,,,,431
22051021000,"Kenner, LA",33027,0.0363,,25410,0.2865,43700,0.7507,,,,,0.1433,,0.1427,,0.7805,0.3001,30975,23459,,,,,628
22051021100,"Kenner, LA",43163,0.0249,,28447,0.4182,46103,0.7773,,,,,0.2136,,0.2,,0.775,0.2027,41988,29272,,,,,577
22051021200,"Kenner, LA",33062,0.0132,,23471,0.3251,40741,0.6705,,,,,0.1189,,0.1369,,0.7554,0.2128,31947,23770,,,,,529
22051021300,"Metairie, LA",47723,0,,32035,0.4605,43340,0.7773,,,,,0.2358,,0.217,,0.7379,0.2253,44204,30331,,,,,740
22051021400,"Metairie, LA",48622,0.0103,,33819,0.4781,44963,0.7787,,,,,0.2778,,0.266,,0.7097,0.2133,46091,33314,,,,,544
22051021500,"Metairie, LA",33915,0.0317,,25263,0.327,39173,0.7283,,,,,0.1035,,0.1343,,0.6288,0.1164,29851,22488,,,,,562
22051021600,"Metairie, LA",44507,0.0158,,30993,0.4567,43235,0.7594,,,,,0.2311,,0.234,,0.7169,0.2072,41577,29758,,,,,1361
22051021700,"Metairie, LA",45310,0.0098,,32039,0.4325,41829,0.7692,,,,,0.2448,,0.2363,,0.7345,0.2072,42534,30604,,,,,1075
22051021801,"Metairie, LA",51840,0.0071,,32932,0.5333,48482,0.7615,,,,,0.2956,,0.2764,,0.6653,0.1579,48631,32465,,,,,546
22051021803,"Metairie, LA",30777,0.0292,,23261,0.2931,37109,0.7508,,,,,0.0951,,0.0964,,0.6528,0.1542,28679,22940,,,,,1003
22051021804,"Metairie, LA",36031,0.023,,25463,0.3406,47569,0.71,,,,,0.1636,,0.1359,,0.6791,0.1186,35767,24937,,,,,442
22051021900,"Metairie, LA",48914,0.0095,,34353,0.5137,41502,0.7812,,,,,0.2589,,0.2376,,0.6426,0.1512,47862,33498,,,,,309
22051022001,"Metairie, LA",39640,0.011,,30077,0.3158,43289,0.7769,,,,,0.1536,,0.2068,,0.6954,0.1849,37676,29307,,,,,792
22051022002,"Metairie, LA",61524,0.0092,,36587,0.5697,49162,0.8086,,,,,0.3752,,0.2822,,0.7752,0.2062,57000,35953,,,,,515
22051022101,"Metairie, LA",56095,0.0009,,36795,0.586,43993,0.7804,,,,,0.349,,0.3044,,0.6702,0.1874,49482,33396,,,,,242
22051022102,"Metairie, LA",46792,0.0063,,33262,0.4417,41080,0.7746,,,,,0.2359,,0.2759,,0.7388,0.1709,43836,31867,,,,,279
22051022200,"Bonnabel Place, Metairie, LA",51772,0.0022,,31199,0.489,49083,0.7178,,,,,0.29,,0.2195,,0.6697,0.2408,43668,29542,,,,,448
